Subspecialty,Task Type,Easy (20%),Medium (50%),Hard (25%),Very Hard (5%),Total
Biostatistics/Epidemiology,Mixed Management,4,9,4,1,18
Biostatistics/Epidemiology,Pharmacotherapy,3,6,3,0,12
Biostatistics/Epidemiology,Clinical Interventions,2,5,2,1,10
Biostatistics/Epidemiology,Prognosis,2,4,2,1,9
Biostatistics/Epidemiology,Health Maintenance,2,4,2,1,9
Biostatistics/Epidemiology,Professionalism,1,4,2,0,7
Biostatistics/Epidemiology,Systems Practice,1,4,2,0,7
Biostatistics/Epidemiology,Practice Learning,1,3,1,0,5
Biostatistics/Epidemiology,Mechanism,1,3,2,0,6
Biostatistics/Epidemiology,SUBTOTAL,26,62,31,6,125
Multisystem,Diagnosis,2,5,2,0,9
Multisystem,Lab/Diagnostic,2,4,2,0,8
Multisystem,Mixed Management,1,4,2,0,7
Multisystem,Pharmacotherapy,1,3,1,0,5
Multisystem,Clinical Interventions,1,2,1,0,4
Multisystem,Prognosis,1,2,1,0,4
Multisystem,Health Maintenance,1,2,1,0,4
Multisystem,Professionalism,1,2,1,0,4
Multisystem,Systems Practice,1,2,1,0,4
Multisystem,Practice Learning,0,1,0,0,1
Multisystem,Mechanism,0,1,0,0,1
Multisystem,SUBTOTAL,11,28,12,0,51
GRAND TOTAL,,511,1272,636,86,2505
